StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
Montane Sagebrush Upland,Sh Ann Gr:Closed,,Seeded:Open,Restoration Annual Grass,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Sh Dpl:Closed,,Ann Gr:Open,Annual Grass Invasion,0.0010,,,,,Yes,,,
Montane Sagebrush Upland,Sh Dpl:Closed,,Ann Gr:Open,Replacement Fire,0.0050,,,,,Yes,,,
Montane Sagebrush Upland,Sh Dpl:Closed,,Early:Open,Restoration Depleted Sage L,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Sh Dpl:Closed,,Early:Open,Restoration Depleted Sage L,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Sh Dpl:Closed,,Seeded:Open,Restoration Depleted Sage L,0.0100,,,,,Yes,,,
Montane Sagebrush Upland,Sh Dpl:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0005,,,,,No,,,
Montane Sagebrush Upland With Trees,Ann Gr Mono:Open,,Ann Gr Mono:Open,Replacement Fire,0.1000,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Ann Gr Mono:Open,,Seeded:Open,Restoration Annual Grass Threshold,0.0001,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Ann Gr:Open,,Ann Gr Mono:Open,Replacement Fire,0.0500,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Ann Gr:Open,,Ann Gr Mono:Open,Wind/Weather/Stress,0.0130,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Ann Gr:Open,,Seeded:Open,Restoration Annual Grass,0.0060,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Crst Wht Gr:Open,,Ann Gr:Open,Excessive-Herbivory,0.0001,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Crst Wht Gr:Open,,Crst Wht Gr:Open,Replacement Fire,0.0010,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Crst Wht Gr:Open,,Early:Open,CWG-Restoration,0.0010,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Early:Open,,Ann Gr:Open,Annual Grass Invasion,0.0001,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Early:Open,,Ann Gr:Open,Excessive-Herbivory,0.0001,,,,,No,,,
Montane Sagebrush Upland With Trees,Early:Open,,Early:Open,Replacement Fire,0.0125,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Early:Open,,Early:Open,Wind/Weather/Stress,0.0100,,,,,No,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Early:Open,Replacement Fire,0.0200,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Early:Open,Restoration Depleted Sage H,0.0022,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Early:Open,Restoration Depleted Sage L,0.0080,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Late:Open,Wind/Weather/Stress,0.0065,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Mid:Open,Restoration Depleted Sage H,0.0058,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0005,,,,,No,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Sh Dpl:Closed,Excessive-Herbivory,0.0005,,,,,No,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Sh Dpl:Closed,Wind/Weather/Stress,0.0065,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Closed,,Tr Enc:Open,Tree Encroachment,0.0050,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Early:Open,REF-Restoration L,0.0075,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Early:Open,Replacement Fire,0.0125,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Early:Open,Wind/Weather/Stress,0.0002,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Mid:Open,Insect/Disease,0.0130,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Mid:Open,REF-Restoration L,0.0015,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Mid:Open,Wind/Weather/Stress,0.0008,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Sh Ann Gr:Closed,Annual Grass Invasion,0.0025,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Late:Open,,Sh Ann Gr:Closed,Excessive-Herbivory,0.0008,,,,,No,,,
Montane Sagebrush Upland With Trees,Late:Open,,Sh Dpl:Closed,AltSuccession,0.0050,,,,,No,,,
Montane Sagebrush Upland With Trees,Late:Open,,Sh Dpl:Closed,Excessive-Herbivory,0.0003,,,,,No,,,
Montane Sagebrush Upland With Trees,Late:Open,,Tr Enc:Open,Tree Encroachment,0.0100,,,,,No,,,
Montane Sagebrush Upland With Trees,Mid:Open,,Early:Open,Replacement Fire,0.0100,,,,,Yes,,,
Montane Sagebrush Upland With Trees,Mid:Open,,Early:Open,Wind/Weather/Stress,0.0130,,,,,Yes,,,
